comments,candidate,cleaned_comments
I keep saying,Bawumia,keep saying
"Ndc Administration Initiated n Started Ghana Card,
 But Ndc Isn't Bragging n Making Useless Noise Abt It,
 Desperate n Confused Scammer",Bawumia,ndc administration initiated started ghana card ndc bragging making useless noise abt desperate confused scammer
"Disappointed,Desperate n Confused Scammer",Bawumia,disappointed desperate confused scammer
The Minister for School Feeding! AI to check food quality!! Is this,Bawumia,minister school feeding ai check food quality
"Chief of Nsawam confers Title of ""Internet Chief"" on Dr.",Bawumia,chief nsawam confers title internet chief dr
Ah isn't,Bawumia,ah
King of,Bawumia,king
He's Wasted Our 8yrs For Nothing n Couldn't Even Help,Bawumia,wasted yr nothing even help
"How does hotel sales affect data packages? Mtn is under NCA, let's put it that way. He brought in",Bawumia,hotel sale affect data package mtn nca let put way brought
Nope for I think the prez delegates part of the exclusive powers to the Veep to champion & perform as,Bawumia,nope think prez delegate part exclusive power veep champion perform
"3/9
 Yes,",Bawumia,yes
He is not wrong in calling out,Bawumia,wrong calling
market is bigger than Makola market all thanks to Dr.,Bawumia,market bigger makola market thanks dr
doesn't understand,Bawumia,understand
The reason the ',Bawumia,reason
ei Ghana youth. You people Dey talk like,Bawumia,ei ghana youth people dey talk like
How is he threatening him. Dr.,Bawumia,threatening dr
strategy is now to mention,Bawumia,strategy mention
"Today, I would like to understand something from my",Bawumia,today would like understand something
"It's Possible,
 Bold Solutions,
 Presidential Debate,",Bawumia,possible bold solution presidential debate
Nana Addo answer to every question before becoming president was free education and,Bawumia,nana addo answer every question becoming president free education
"is going round talking about Ghana as an achievement and wants people to vote for him based on that, and of coz the less enlightened ones will vote for that. We are in economic crisis, and your campaign is about",Bawumia,going round talking ghana achievement want people vote based coz less enlightened one vote economic crisis campaign
I have always the,Bawumia,always
"Momo Transaction Was Initiated n Started In 2009,",Bawumia,momo transaction initiated started
We Need,Bawumia,need
"n Their Desperate n Confused Propagandists Knows Clearly Dat,",Bawumia,desperate confused propagandist know clearly dat
"No Credible New Policies n Campaign Messages,",Bawumia,credible new policy campaign message
I don't know why you people can't admit that this,Bawumia,know people admit
You have no shame am a proud,Bawumia,shame proud
"I tell you bro, anybody who knows how IT systems are set up will understand very well",Bawumia,tell bro anybody know system set understand well
"Mumu. Even in the face of unprecedented external shocks caused by the global pandemic, the",Bawumia,mumu even face unprecedented external shock caused global pandemic
"Cos you heard Mahama saying he will train 1 million youths in coding, you also came with d",Bawumia,co heard mahama saying train million youth coding also came
"One thing is obvious, many people can say policies by",Bawumia,one thing obvious many people say policy
THE ATROCITIES,Bawumia,atrocity
"""Ghana moving towards full",Bawumia,ghana moving towards full
Please ask your,Bawumia,please ask
You make it sound like Dr.,Bawumia,make sound like dr
Name one,Bawumia,name one
Dr Frank Bannor Advocates for,Bawumia,dr frank bannor advocate
Ghana moving into,Bawumia,ghana moving
Who built the Accra Digital Centre?Digital without infrastructure is nothing .so let ask Dr.,Bawumia,built accra digital centre digital without infrastructure nothing let ask dr
Ghana-Is-Going-Into-The-,Bawumia,ghana going
Ghana is being well-prepared for the future thanks to Dr.,Bawumia,ghana well prepared future thanks dr
Ghana no longer moving to the 'akonfem' era;,Bawumia,ghana longer moving akonfem era
Ghana is indeed moving into an era of,Bawumia,ghana indeed moving era
"In this digital era, Ghana needs",Bawumia,digital era ghana need
I will always trust the digital,Bawumia,always trust digital
Facts are sacrosanct. Ghana is indeed moving into the,Bawumia,fact sacrosanct ghana indeed moving
"No Credible New Policies n Campaign Messages To Tell Jobless n Suffering Ghanaians,
 Only Lying n Talking About Dis,
 It's Possible,",Bawumia,credible new policy campaign message tell jobless suffering ghanaians lying talking dis possible
"Apart From Fshs,Ghana Card,",Bawumia,apart fsh ghana card
"Liberalization of communication sector, leading to",Bawumia,liberalization communication sector leading
It's obvious comparing Dr.,Bawumia,obvious comparing dr
"s campaign messages have flip flopped over the period. It started off with Blue economy, Signal,",Bawumia,campaign message flip flopped period started blue economy signal
"But then under Mills,he was the vice president and led most of these project commissioning.
 Isn't",Bawumia,mill vice president led project commissioning
"…………
 Even",Bawumia,even
Desperate n Confused Scammer,Bawumia,desperate confused scammer
Then Akuffo Addo-,Bawumia,akuffo addo
"Don't Have Any Credible New Policies n Campaign Messages,
 So They're Lying,Doing Propaganda n Spreading Fake News Abt Jdm,Ndc n Only Talking Abt Fshs,Ghana Card,Credit Score n",Bawumia,credible new policy campaign message lying propaganda spreading fake news abt jdm ndc talking abt fsh ghana card credit score
Gyimie sei aahhh the economy is bad but they will say is not,Bawumia,gyimie sei aahhh economy bad say
But you credit,Bawumia,credit
"Kayayee,",Bawumia,kayayee
Anyone who bothers to look will find that,Bawumia,anyone bother look find
has not boasted about anything. It is Akufo Addo rather that has boasted about the guy being his,Bawumia,boasted anything akufo addo rather boasted guy
But that's truth except if you're looking for a lie.,Bawumia,truth except looking lie
"So now the 8-yrs ""Mills-Mahama Administration"" has been split into ""the 3 2/3 yrs Mill Administration"" and ""the Mahama 4 1/4yrs minus 7-months in court Administration"". Then we must equally have ""the 8yrs Akufo Addo Administration"". 
 
 Where stands",Bawumia,yr mill mahama administration split yr mill administration mahama yr minus month court administration must equally yr akufo addo administration stand
Proof that those on that,Bawumia,proof
has been saying that the,Bawumia,saying
But Akufo Addo himself has said that,Bawumia,akufo addo said
This man needs money.. I hope,Bawumia,man need money hope
Sakof ein girl nor get ass..Bibinii ne gyimii de3 ay3 S3,Bawumia,sakof ein girl get as bibinii ne gyimii de ay
u see,Bawumia,see
That means,Bawumia,mean
The contradictions write themselves. On the one hand,Bawumia,contradiction write one hand
Professor mills was a member of,Bawumia,professor mill member
Lol interesting. So why is,Bawumia,lol interesting
This is one problem,Bawumia,one problem
Someone wants to do Agric nti he no get vision..abi you go chop,Bawumia,someone want agric nti get vision abi go chop
He can't even pronounce,Bawumia,even pronounce
We are just behind in terms of development and,Bawumia,behind term development
"People like you just don't get it. It's bigger than lower data prices. Data prices need to be lower, but the",Bawumia,people like get bigger lower data price data price need lower
Tilly Akua Nipaa address,Bawumia,tilly akua nipaa address
has no idea bout,Bawumia,idea bout
You will say,Bawumia,say
"wants to be disassociated from the failures of this government 
 
 But will claim he implemented",Bawumia,want disassociated failure government claim implemented
